County,Population > 16,People receiving at least one dose,% People receiving at least one dose,People Completely Vaccinated,Doses Administered
Autauga,55869,17337,31.03152016,13682,30085
Baldwin,223234,77995,34.93867422,62524,137230
Barbour,24686,7771,31.47938103,5890,13219
Bibb,22394,6642,29.65973028,4959,11155
Blount,57826,16750,28.96620897,13768,29359
Bullock,10101,4214,41.71864172,3431,7471
Butler,19448,6315,32.47120527,4987,10749
Calhoun,113605,35408,31.16764227,29443,62706
Chambers,33254,11237,33.79142359,9659,20362
Cherokee,26196,7194,27.46220797,6151,12100
Chilton,44428,12225,27.51643108,9824,20578
Choctaw,12589,4189,33.27508142,3263,7146
Clarke,23622,8314,35.19600373,6863,14491
Clay,13235,4483,33.87230827,3471,7537
Cleburne,14910,3355,22.50167673,2856,6121
Coffee,52342,14236,27.19804364,11616,24845
Colbert,55241,20435,36.99245126,17486,37166
Conecuh,12067,4246,35.18687329,3253,7291
Coosa,10663,3623,33.9773047,3096,6457
Covington,37049,9911,26.75105941,8049,17200
Crenshaw,13772,4232,30.72901539,3511,7388
Cullman,83768,26330,31.43205042,23040,48176
Dale,49172,12555,25.53282356,10680,22256
Dallas,37196,13190,35.46080224,9748,22257
DeKalb,71513,18104,25.31567687,14921,31277
Elmore,81209,25139,30.95592853,20012,43313
Escambia,36633,9269,25.30232304,7135,15728
Etowah,102268,32848,32.11952908,27726,58709
Fayette,16302,4734,29.03938167,4137,8410
Franklin,31362,9791,31.21930999,8190,17019
Geneva,26271,7225,27.50180808,6070,12723
Greene,8111,3140,38.71285908,2425,5449
Hale,14651,5895,40.23616135,5092,10317
Henry,17205,5981,34.76315025,4934,10671
Houston,105882,34359,32.45027483,28847,61704
Jackson,51626,14557,28.1970325,12029,25722
Jefferson,658573,277221,42.09419457,224396,486364
Lamar,13805,3843,27.83773995,3367,6890
Lauderdale,92729,33281,35.89060596,27260,59452
Lawrence,32924,9947,30.2120034,8627,17711
Lee,164542,59445,36.12755406,51740,109231
Limestone,98915,35437,35.82570894,30584,64119
Lowndes,9726,4489,46.15463706,3341,7689
Macon,18068,6763,37.43081691,5322,11764
Madison,372909,154788,41.50825,130736,274646
Marengo,18863,7653,40.57148916,6279,13004
Marion,29709,8436,28.39543573,7288,15134
Marshall,96774,29507,30.49062765,25054,51357
Mobile,413210,135673,32.83391012,114877,245527
Monroe,20733,6716,32.39280374,5263,11777
Montgomery,226486,80165,35.39512376,62128,139479
Morgan,119679,41057,34.30593504,35406,73173
Perry,8923,3684,41.28656282,3009,6458
Pickens,19930,5759,28.89613648,4470,9855
Pike,33114,9775,29.51923658,8127,17319
Randolph,22722,5798,25.51711997,4821,10414
Russell,57961,11150,19.2370732,8950,19674
Shelby,217702,91645,42.09653563,74648,160717
St. Clair,89512,28364,31.68737153,23525,50296
Sumter,12427,4372,35.18145972,3292,7386
Talladega,79978,24960,31.20858236,20757,44410
Tallapoosa,40367,14660,36.31679342,12698,26841
Tuscaloosa,209355,69645,33.26646127,59508,125769
Unknown,-1,74208,-7420800,52547,121352
Walker,63521,21037,33.11818139,17542,36036
Washington,16326,4823,29.54183511,4088,8774
Wilcox,10373,4147,39.97879109,3283,6669
Winston,23629,6594,27.90638622,5622,11674
