Name,Address,County
1ST STREET PHARMACY,"1070 1ST STREET NW, CHILDERSBURG, AL 35044",TALLADEGA
AAMU HEALTH AND COUNSELING,"4011 MERIDIAN ST, NORMAL, AL 35762",MADISON
"ABBEVILLE PHARMACY, LLC","615 OZARK ROAD , ABBEVILLE, AL 36310",HENRY
"ABC FAMILY MEDICINE, INC","24 COUNTY ROAD 262, HANCEVILLE, AL 35077",CULLMAN
ACCORDIA HEALTH- ROCKFORD,"9518 US HWY 231, ROCKFORD, AL 35136",COOSA
ADAMS DRUGS - EAST,"35 MITCHELL DRIVE, MONTGOMERY, AL 36109",MONTGOMERY
ADAMS DRUGS - PERRY HILL ROAD,"1633 PERRY HILL ROAD, MONTGOMERY, AL 36106",MONTGOMERY
ADAMS DRUGS - PRATTVILLE,"103 S. MEMORIAL DRIVE, PRATTVILLE, AL 36066",AUTAUGA
ADAMS DRUGS - TAYLOR ROAD,"7200 COPPERFIELD DRIVE, MONTGOMERY, AL 36117",MONTGOMERY
ADAMS DRUGS - WETUMPKA,"5268 US HIGHWAY 231, WETUMPKA, AL 36092",ELMORE
ALABAMA REGIONAL MEDICAL SERVICES-NORTHERN HEALTH CENTER,"2817 30TH AVENUE NORTH, BIRMINGHAM, AL 35207",JEFFERSON
ALL ABOUT PEDIATRICS,"111 SCOUTING CIR, TROY, AL 36081-2540",PIKE
"ALLERGY, ASTHMA AND CLINICAL IMMUNOLOGY SPECIALISTS","4021 BALMORAL DR SW, HUNTSVILLE, AL 35801-6403",MADISON
ALLSOUTH URGENT CARE - 1,"4585 MONTGOMERY HWY, DOTHAN, AL 36303-1880",HOUSTON
"AMERICA'S BEST CARE PLUS, INC","1825 EVERETT DRIVE W, FORT PAYNE, AL 35968",DEKALB
AMERICAN FAMILY CARE - AUBURN,"1902 SOUTH COLLEGE ST., AUBURN, AL 36830",LEE
AMERICAN FAMILY CARE - DOTHAN,"2445 MURPHY MILL RD, DOTHAN, AL 36303",HOUSTON
AMERICAN FAMILY CARE - EASTCHASE,"2570 BERRYHILL RD, MONTGOMERY, AL 36117-3564",MONTGOMERY
AMERICAN FAMILY CARE - GREYSTONE,"5410 HWY 280, BIRMINGHAM, AL 35242",SHELBY
AMERICAN FAMILY CARE - OPELIKA,"2544 ENTERPRISE DR, OPELIKA, AL 36801-6860",LEE
AMERICAN FAMILY CARE - ORANGE BEACH,"25775 PERDIDO BEACH BLVD STE E5, ORANGE BEACH, AL 36561-6602",BALDWIN
AMERICAN FAMILY CARE - PRATTVILLE,"1965 COBBS FORD RD, PRATTVILLE, AL 36066-7290",AUTAUGA
AMMA - SECTION QUICK CARE,"302 MAIN ST S, SECTION, AL 35771-7006",JACKSON
ANDALUSIA REGIONAL HOSPITAL,"849 S THREE NOTCH ST, ANDALUSIA, AL 36420-5325",COVINGTON
ANDERSON PHARMACY,"7101 ETOWAH ST , ALTOONA, AL 35952",ETOWAH
"ANNISTON MEDICAL CLINIC, PC","1010 CHRISTINE AVE, ANNISTON, AL 36207-5782",CALHOUN
ASHLAND PHARMACY,"83074 HIGHWAY 9, ASHLAND, AL 36251-7975",CLAY
ASHVILLE DRUGS,"35767 US HWY 231, ASHVILLE, AL 35953",ST. CLAIR
ASU HEALTH CENTER,"915 SOUTH JACKSON STREET, MONTGOMERY, AL 36104",MONTGOMERY
ATHENS LIMESTONE HOSPITAL,"700 W MARKET ST, ATHENS, AL 35611-2457",LIMESTONE
ATHENS PRIMARY CARE ASSOCIATES,"101 FITNESS WAY STE 1200, ATHENS, AL 35611-2492",LIMESTONE
ATMORE COMMUNITY HOSPITAL,"401 MEDICAL PARK DR, ATMORE, AL 36502-3006",ESCAMBIA
AUBURN PEDIATRIC AND ADULT MEDICINE,"2353 BENT CREEK RD STE 110, AUBURN, AL 36830-6482",LEE
AUBURN UNIVERSITY MEDICAL CLINIC,"400 LEM MORRISON DRIVE, AUBURN, AL 36832-4643",LEE
AUBURN URGENT CARE,"1650A S COLLEGE ST, AUBURN, AL 36832-6637",LEE
AUTAUGA CO HLTH DEPT,"219 N COURT ST, PRATTVILLE, AL 36067-3003",AUTAUGA
BALDWIN CO HLTH DEPT - ROBERTSDALE,"23280 GILBERT DRIVE, ROBERTSDALE, AL 36567-0369",BALDWIN
BAPTIST MED CTR - SOUTH,"2105 E SOUTH BLVD, MONTGOMERY, AL 36116-2409",MONTGOMERY
BARBOUR CO HLTH DEPT - EUFAULA,"634 SCHOOL ST, EUFAULA, AL 36027-2430",BARBOUR
BAYOU PHARMACY,"12855 PADGETT SWITCH RD, IRVINGTON, AL 36544-4015",MOBILE
BEASLEY'S PHARMACY,"170 5TH STREET SW, VERNON, AL 35592",LAMAR
BIBB CO HLTH DEPT,"281 ALEXANDER AVE, CENTREVILLE, AL 35042-2953",BIBB
BIBB MEDICAL ASSOCIATES,"208 PIERSON AVE, CENTREVILLE, AL 35042-2918",BIBB
BIBB MEDICAL CENTER PHARMACY,"208 PIERSON AVENUE, CENTREVILLE, AL 35042",BIBB
BLOUNT CO HLTH DEPT - ONEONTA,"1001 LINCOLN AVE, ONEONTA, AL 35121-2533",BLOUNT
BOAZ DISCOUNT DRUGS,"10460 AL HIGHWAY 168 STE 1, BOAZ, AL 35957-1951",MARSHALL
BROOKLERE PHARMACY,"3633 GRAY AVE, ADAMSVILLE, AL 35005-2238",JEFFERSON
BROOKLERE PHARMACY #301,"205 BUCK CREEK PLAZA, ALABASTER , AL 35007",SHELBY
BROOKWOOD MEDICAL CENTER,"2010 BROOKWOOD MEDICAL CTR DR, BIRMINGHAM, AL 35209-6804",JEFFERSON
BRYCE HOSPITAL TUSCALOOSA,"1651 RUBY TYLER PKWY, TUSCALOOSA, AL 35404-2990",TUSCALOOSA
BULLOCK CO HLTH DEPT,"674 HICKS INDUSTRIAL BOULEVARD, UNION SPRINGS, AL 36089",BULLOCK
BULLOCK COUNTY HOSPITAL,"102 CONECUH AVE W, UNION SPRINGS, AL 36089-1303",BULLOCK
BUNCH PHARMACY,"1800 HENRY ST, GUNTERSVILLE, AL 35976-1613",MARSHALL
BUTLER CO HLTH DEPT - GREENVILLE,"350 AIRPORT RD, GREENVILLE, AL 36037-8822",BUTLER
"BYRD DRUG CO., INC","81 N COURT SQ, TROY, AL 36081",PIKE
CAHABA MEDICAL CARE FAIRFIELD,"7000 GRASSILLI RD, FAIRFIELD, AL 35064",JEFFERSON
CAHABA MEDICAL CARE FOUNDATION-CENTREVILLE,"405 BELCHER ST, CENTREVILLE, AL 35042-2946",BIBB
"CAHABA MEDICAL CARE, BESSEMER","975 9TH AVE SW SUITE 310, BESSEMER, AL 35022",JEFFERSON
"CAHABA MEDICAL CARE, ENSLEY","1925 AVENUE E ENSLEY, BIRMINGHAM, AL 35128",JEFFERSON
"CAHABA MEDICAL CARE, MAPLESVILLE","9431 AL HIGHWAY 22, MAPLESVILLE, AL 36750-3264",CHILTON
"CAHABA MEDICAL CARE, MARION","1303 WASHINGTON ST, MARION, AL 36756",PERRY
"CAHABA MEDICAL CARE, WEST END","1308 TUSCALOOSA AVE SW, BIRMINGHAM, AL 35211-1948",JEFFERSON
"CAHABA MEDICAL CARE, WOODSTOCK","28921 HIGHWAY 5, WOODSTOCK, AL 35188-3613",BIBB
CALHOUN CO HLTH DEPT,"3400 MCCLELLAN BLVD, ANNISTON, AL 36201-2128",CALHOUN
CAPSTONE RURAL HEALTH - ARLEY,"6638 COUNTY ROAD 41, ARLEY, AL 35541",WINSTON
CAPSTONE RURAL HEALTH CNTR,"5947 HIGHWAY 269, PARRISH, AL 35580-3847",WALKER
CARBON HILL DRUGS,"31040 1ST AVE NE, SUITE 5, CARBON HILL, AL 35549",WALKER
CARTER DRUG COMPANY,"133 BROAD ST, SELMA, AL 36701-4606",DALLAS
CENTRAL FAMILY CARE,"86261 HWY 9, ASHLAND, AL 36251",CLAY
